METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sprintcore,swiftcore,fastcore
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutamine synthesis,true,true,true
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutamine degradation,true,true,true
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutaminolysis (glutamine to lactate),true,true,true
AMINO ACIDS METABOLISM,GLUTATHIONE METABOLISM,Glutathionate synthesis,true,true,true
AMINO ACIDS METABOLISM,GLYCINE METABOLISM,Glycine synthesis,true,true,true
AMINO ACIDS METABOLISM,GLYCINE METABOLISM,Glycine degradation,true,true,true
AMINO ACIDS METABOLISM,GLYCINE METABOLISM,Conversion of glycine to pyruvate,true,true,true
AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,Histidine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,Histidine degradation,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,Conversion of histidine to glutamate,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,Conversion of histidine to histamine,true,true,true
AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM,Homocysteine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM,Homocysteine synthesis (need methionine),true,true,true
AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM,Homocysteine degradation,true,true,true
AMINO ACIDS METABOLISM,ISOLEUCINE METABOLISM,Isoleucine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,ISOLEUCINE METABOLISM,Isoleucine degradation,true,true,true
AMINO ACIDS METABOLISM,LEUCINE METABOLISM,Leucine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,LEUCINE METABOLISM,Leucine degradation,true,true,true
