METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sp0,sp2,sp6,sw0,sw2,sw6,f0,f2,f6
CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Inositol as input for glucuronate-xylulose pathway,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Synthesis of phosphatidylinositol from inositol,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,"Conversion of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate to 1D-myo-inositol 1,4,5-trisphosphate",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,STARCH DEGRADATION,Starch degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,GLYOXYLATE METABOLISM,Link between glyoxylate metabolism and pentose phosphate pathway (Xylulose to glycolate),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,METHYLGLYOXAL METABOLISM,Synthesis of methylglyoxal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ALANINE METABOLISM,Alanine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ALANINE METABOLISM,Alanine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ALANINE METABOLISM,Synthesis of alanine from glutamine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Arginine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Arginine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Synthesis of arginine from glutamine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Synthesis of nitric oxide from arginine,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Synthesis of aspartate from glutamine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ARGININE METABOLISM,Synthesis of creatine from arginine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ASPARAGINE METABOLISM,Asparagine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ASPARAGINE METABOLISM,Asparagine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Aspartate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Aspartate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Conversion of aspartate to arginine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Conversion of aspartate to beta-alanine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,ASPARTATE METABOLISM,Conversion of asparate to asparagine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,beta-Alanine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,beta-Alanine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,Conversion of carnosine to beta-alanine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM,Beta-alanine to 3-oxopropanoate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Cysteine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Cysteine synthesis (need serine and methionine),TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Cysteine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Synthesis of cysteine from cystine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,CYSTEINE METABOLISM,Synthesis of taurine from cysteine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Glutamate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Glutamate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Conversion of glutamate to glutamine,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Conversion of glutamate to proline,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,GLUTAMATE METABOLISM,Conversion of GABA into succinate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutamine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutamine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLUTAMINE METABOLISM,Glutaminolysis (glutamine to lactate),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLUTATHIONE METABOLISM,Glutathionate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLYCINE METABOLISM,Glycine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLYCINE METABOLISM,Glycine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,GLYCINE METABOLISM,Conversion of glycine to pyruvate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,Histidine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,Histidine degradation,TRUE,TRUE,TRUE,FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,Conversion of histidine to glutamate,TRUE,TRUE,TRUE,FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,HISTIDINE METABOLISM,Conversion of histidine to histamine,FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM,Homocysteine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM,Homocysteine synthesis (need methionine),TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,HOMOCYSTEINE METABOLISM,Homocysteine degradation,TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail)
AMINO ACIDS METABOLISM,ISOLEUCINE METABOLISM,Isoleucine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,ISOLEUCINE METABOLISM,Isoleucine degradation,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE,TRUE,TRUE
